<<<<<<< HEAD
15,52,33,0,0,0,0,0,9,6,41,27,13,2,1,1,8,10,12,31,12,11,7,9,0
44,52,4,0,0,0,0,0,8,53,18,8,4,4,3,2,12,36,27,9,6,6,2,2,0
28,66,5,1,0,0,0,0,0,69,25,5,1,0,0,0,1,48,38,7,5,1,0,0,0
80,20,0,0,0,0,0,0,35,48,14,3,0,0,0,0,28,52,16,0,2,0,0,2,0
42,51,7,0,0,0,0,0,2,55,32,9,2,0,0,0,0,35,46,18,1,0,0,0,0
10,56,23,8,1,2,0,0,0,27,20,30,19,1,2,1,0,27,28,26,16,2,1,0,0
7,42,22,11,5,8,2,3,0,10,42,14,15,6,7,6,0,18,24,20,17,9,3,9,0
12,62,14,2,4,1,2,3,1,35,31,14,7,4,4,4,4,18,25,27,10,3,5,8,0
5,67,22,6,0,0,0,0,0,30,17,24,13,9,5,2,1,20,20,11,23,11,4,10,0
34,55,11,0,0,0,0,0,9,59,23,3,4,2,0,0,17,46,25,5,2,3,2,0,0
53,27,12,6,1,1,0,0,36,41,16,7,0,0,0,0,45,36,18,1,0,0,0,0,0
91,9,0,0,0,0,0,0,47,53,0,0,0,0,0,0,58,42,0,0,0,0,0,0,0
66,26,8,0,0,0,0,0,44,44,10,2,0,0,0,0,57,32,9,2,0,0,0,0,0
85,10,2,3,0,0,0,0,60,36,3,1,0,0,0,0,63,30,7,0,0,0,0,0,0
28,41,24,6,1,0,0,0,4,55,18,15,4,3,1,0,7,43,19,17,10,3,1,0,0
40,47,11,2,0,0,0,0,5,39,37,13,6,0,0,0,16,39,26,12,4,2,1,0,0
13,68,18,1,0,0,0,0,1,56,21,15,4,3,0,0,1,64,22,8,4,1,0,0,0
7,55,9,10,5,4,7,3,0,31,33,8,10,6,4,8,4,31,29,15,9,7,1,4,0
4,52,31,10,3,0,0,0,0,19,43,20,12,6,0,0,0,27,29,24,17,3,0,0,0
5,37,44,7,3,1,2,1,0,22,32,22,12,6,6,0,4,29,16,19,6,13,6,7,0
3,62,27,8,0,0,0,0,0,20,51,17,7,4,1,0,0,21,42,28,6,3,0,0,0
1,24,24,23,16,5,6,1,0,6,16,22,19,18,12,7,0,6,15,30,26,9,8,6,0
0,58,24,12,4,1,0,1,0,3,28,37,24,4,2,2,0,3,31,34,21,9,1,1,0
3,29,43,17,8,0,0,0,0,3,23,33,24,10,4,3,0,5,12,30,23,14,9,7,0
0,21,33,26,10,7,2,1,0,5,22,30,21,10,10,2,1,8,14,17,26,10,10,14,0
4,23,24,18,5,4,6,16,4,20,12,14,12,7,9,22,10,10,14,14,15,10,5,22,0
5,60,19,7,4,3,0,2,16,48,15,6,6,5,2,2,25,40,18,5,6,2,1,3,0
